reviewId,userName,rating,date,review,dev_reply,country
59436278-9150-462b-bee3-4def6655f057,Welbor,5,2025-09-14 20:33:00,wow amazing,,us
b10e0798-4d6f-43d4-9b16-abdbd7c27a36,Pavan Kondapuram,5,2025-09-14 20:32:55,Very professional.,,us
236f64d3-a1d4-40eb-b225-e403dec60daf,mustapha adamu,5,2025-09-14 20:13:54,excellent in making,,us
2d77114d-b71a-4ff8-81ff-20cfab7cdfdc,Simoné B,5,2025-09-14 20:13:40,🌟🌟🌟🌟🌟,,us
314e7f82-1b3c-4015-89bb-3ca15b308d29,Mamee Siraj,5,2025-09-14 20:02:13,All video network systems and mobile model SM-M013F/DS in work,,us
de81b1b7-6ffb-4b7c-9079-a5dca1032a92,MM Al-Amin,5,2025-09-14 20:01:08,great app,,us
ad914dec-eef8-4ae7-b510-752ccc61cc64,Akash Gupta,5,2025-09-14 19:30:50,hai good,,us
aaf024b4-f5f1-4125-8078-20af9dedcfe1,Mohammed Hassen,5,2025-09-14 19:30:48,ok,,us
2b19a85c-de04-4822-a163-a344cf0bd564,Melvin Deva,5,2025-09-14 19:14:48,"wonderful platform where everyone irrespective of organization, profession can hold hands together to form a strong community.",,us
959de7ce-c8bc-421b-b184-87156104dd74,Md Mustafa Khan,5,2025-09-14 19:07:27,Working,,us
48579b43-a0b0-4a3c-a316-8eeaabd240a7,Miraz Ali,5,2025-09-14 18:54:42,Good,,us
3a49e9ce-9630-4fc4-817e-daac22ffd678,Neelima Kumari,5,2025-09-14 18:47:19,Linkedin played crucial role in my entrepreneurship journey. It helped me get recognition and professional identity. When no one trusted me linkedin widened my reach to new connections. My content got recognised and liked from so many strangers. I attracted business through my content writing and closed high ticket client for mentoring sessions. One of the best social media platform for professional growth and professional develoment. My google analytics reached to top due to linkedin posts.,,us
97727a79-2817-4f73-9240-98eb4a6b68a5,t cole,3,2025-09-14 18:38:08,it's okay,,us
0f27807f-460d-4d11-8ed2-ed2682e42ca7,Tejaswini. R Yadav,2,2025-09-14 18:17:48,I have issue regarding the sign in..I lost my previous just like that.. without any choice I had to make new account but now that too is have problems plz solve this issue ..I can't even login to my account to state my problem..it was the only way I could rech you plz..sort it out,,us
3ee90400-4277-46a0-9356-9dfb67a4213e,TARAKESWAR MAJUMDER,5,2025-09-14 18:04:40,EXCELLENT!,,us
0bb53779-c4d6-4b09-a9d1-cc7852efd627,Adham Wail,5,2025-09-14 17:34:51,good experience,,us
d90af8b0-32d3-44ca-9246-379ebcc5efd5,Guy Batty,5,2025-09-14 17:26:53,Quality,,us
2713de45-18b0-4d57-84de-7845ca7931f6,Thanh Hoai Le,4,2025-09-14 17:10:41,my Samsung Galaxy C9 pro can't access Google Play Store any more but it includes NFC chip while my Samsung Galaxy Tab A9+ 5G doesn't support NFC so I can't use Persona at all.,,us
6ba6bc97-c208-4908-b7ab-3baae38e4264,Wonder English,5,2025-09-14 17:07:10,love it!!,,us
78f0aec4-6a08-45a8-8b19-df801ec0ff8f,Young Engineer,5,2025-09-14 17:00:13,This is the best social media to me,,us
0c8219f1-d143-4a8b-9b3f-a3f3163f6c9d,blue oceanz,5,2025-09-14 16:46:23,Great app for professionals,,us
efe643e5-e96e-4504-9306-91724435f960,Sachin SD,5,2025-09-14 16:45:50,perfect nice helpful app,,us
e56f535e-51cb-4873-ab35-9f98721c7ba9,Naseer Khan,5,2025-09-14 16:45:47,Best,,us
713412b3-e7da-4992-b4ab-9deb62f73a53,remigius eugene,5,2025-09-14 16:44:04,professional,,us
b97aa700-62bb-4b5a-8648-e9d074423394,Rohail Abbas,5,2025-09-14 16:22:55,I give this app 5 stars because this is good app for finding jobs,,us
f27a9ba8-93b2-407d-bb2e-183417b4a80b,Rajesh Chaudhari,5,2025-09-14 16:10:01,amazing 👏,,us
8ba9c2c2-ad08-4705-b1d9-051b2764e96d,nature lover,3,2025-09-14 16:03:09,lite app pls.,"Hey there, Thanks for taking the time to review the LinkedIn app. We'll be sure to share your feedback with our product team. If there's anything you'd like to add to your feedback, please don't hesitate to email us at https://lnkd.in/gu4upfkp Thank you! -NB",us
a91392e1-01b0-4579-a904-f65b63430486,Hesham Selim,5,2025-09-14 16:02:02,Amazing app,,us
727b3bb7-b837-4b29-9b7c-f42d29cce4dd,Peris Anunda,5,2025-09-14 15:59:36,Great App👏,,us
a33434d9-0f48-4a65-98da-cc90f130323e,rockie road,1,2025-09-14 15:59:24,can't get to the app.,,us
021ae2cb-2404-41d1-8874-d60bf16d507d,John T,1,2025-09-14 15:52:45,"tresh, notifications dont work on an app about notifying people, i say again, tresh",,us
4ce0577b-fb94-4d35-9d17-680d6ad9deb6,pandarinath Pawar,1,2025-09-14 15:38:34,it is 3rd class app don't use anyone it is too cheated app,,us
fdafe7db-9873-4666-9b94-c9e54358a8ff,Saryu Yadav,2,2025-09-14 15:07:02,r 9 .,,us
68aa4dd5-80f3-4374-96ab-09dd6df84314,Syed Balliqullah,5,2025-09-14 14:56:42,I SYED BALLIQULLAH having 24 years vast experience in Finance Department & more over basic commerce Post Graduate looking better opportunities with long-term services to give full support & potential benefits to the company & top Management to react me your best Employee as a team to give you much confidence to all level waiting your positive response.,,us
ef8766d5-4ea7-4dbf-8344-1658f2ac0526,Lalit Mehra,3,2025-09-14 14:47:46,hii lalit mehra,,us
2b1eb5f9-7347-4838-b1d2-ef9662b2dd51,Amir Hanif,5,2025-09-14 14:40:41,this is so pure and outstanding app,,us
c1736620-afe2-47f7-a0d0-ee45b224feab,Gabriel “Yatti” Kuudzadombo,2,2025-09-14 14:27:50,The identity thing is uncomfortable,,us
